# phase flags ONI value as Missing (M), El Nino (E), Neutral (N), La Nina (L)
# Phases calculated from OSI # following https://www.pnas.org/content/116/45/22512 method
# 5-month average of ONI per year Nov-Feb thresholded at 0.6 deg C
# Oceanic Nino Index 
# ONI data from https://bmcnoldy.rsmas.miami.edu/tropics/oni/ONI_NINO34_1854-2021.txt   

year,phase,oni
1872,N,-0.019999999999999983
1873,L,-0.908
1874,N,-0.542
1875,N,-0.51
1876,N,-0.338
1877,E,0.916
1878,E,3.0679999999999996
1879,N,-0.522
1880,L,-0.876
1881,N,0.5900000000000001
1882,N,0.264
1883,N,-0.22799999999999998
1884,N,0.426
1885,E,0.866
1886,E,1.0320000000000003
1887,L,-1.698
1888,N,0.48200000000000004
1889,E,2.4459999999999997
1890,L,-1.698
1891,N,-0.188
1892,N,-0.05800000000000001
1893,L,-1.416
1894,L,-1.308
1895,L,-0.76
1896,N,0.45
1897,E,1.7240000000000002
1898,N,-0.35000000000000003
1899,L,-0.6900000000000001
1900,E,1.374
1901,N,0.496
1902,N,-0.092
1903,E,1.8980000000000001
1904,L,-1.284
1905,E,0.842
1906,E,1.0619999999999998
1907,L,-0.65
1908,N,0.033999999999999996
1909,L,-1.1400000000000001
1910,L,-1.408
1911,L,-0.9940000000000001
1912,E,1.25
1913,N,-0.528
1914,E,0.7859999999999999
1915,E,1.416
1916,L,-0.852
1917,L,-2.0780000000000003
1918,L,-1.1480000000000001
1919,E,1.6780000000000002
1920,E,0.7459999999999999
1921,N,-0.44399999999999995
1922,E,0.708
1923,L,-0.7
1924,E,0.9359999999999999
1925,L,-1.3239999999999998
1926,E,1.432
1927,L,-0.6340000000000001
1928,N,0.26599999999999996
1929,N,-0.26
1930,N,0.392
1931,E,1.498
1932,N,-0.554
1933,N,-0.27799999999999997
1934,L,-1.1960000000000002
1935,N,-0.128
1936,N,0.05199999999999999
1937,N,-0.21000000000000002
1938,N,-0.13599999999999998
1939,L,-0.9399999999999998
1940,E,0.626
1941,E,2.0300000000000002
1942,E,1.244
1943,L,-1.56
1944,N,-0.076
1945,N,-0.404
1946,N,-0.266
1947,N,0.256
1948,N,-0.05199999999999998
1949,N,-0.4459999999999999
1950,L,-1.1300000000000001
1951,N,-0.5900000000000001
1952,E,0.796
1953,N,0.262
1954,E,0.7899999999999999
1955,L,-0.6639999999999999
1956,L,-1.35
1957,N,-0.314
1958,E,1.6600000000000001
1959,N,0.5820000000000001
1960,N,-0.03
1961,N,0.088
1962,N,-0.22200000000000003
1963,N,-0.32799999999999996
1964,E,1.172
1965,L,-0.6659999999999999
1966,E,1.6420000000000001
1967,N,-0.29
1968,N,-0.51
1969,E,0.932
1970,E,0.664
1971,L,-1.1179999999999999
1972,L,-0.79
1973,E,1.908
1974,L,-1.8579999999999999
1975,L,-0.6219999999999999
1976,L,-1.516
1977,E,0.8140000000000001
1978,E,0.728
1979,N,-0.054000000000000006
1980,N,0.5319999999999999
1981,N,-0.13199999999999998
1982,N,-0.098
1983,E,2.158
1984,L,-0.774
1985,L,-0.924
1986,N,-0.394
1987,E,1.174
1988,E,1.022
1989,L,-1.7260000000000002
1990,N,-0.012
1991,N,0.386
1992,E,1.4300000000000002
1993,N,-0.07000000000000002
1994,N,0.044
1995,E,0.9399999999999998
1996,L,-0.944
1997,N,-0.45
1998,E,2.32
1999,L,-1.486
2000,L,-1.538
2001,L,-0.6799999999999999
2002,N,-0.20800000000000002
2003,E,1.074
2004,N,0.35400000000000004
2005,E,0.64
2006,L,-0.658
2007,E,0.732
2008,L,-1.568
2009,L,-0.67
2010,E,1.366
2011,L,-1.512
2012,L,-0.9639999999999999
2013,N,-0.176
2014,N,-0.328
2015,N,0.564
2016,E,2.5060000000000002
2017,N,-0.496
2018,L,-0.8539999999999999
2019,E,0.8160000000000001
2020,N,0.502
