Annual Maximum and Minimum Daily Discharge (m3/s) (PARAM = 1) and Annual Maximum and Minimum Daily Water Level (m) (PARAM = 2)
 ID,Year,MM,DD,MAX,MM,DD,MIN,ENSO
08MF005,1912,06,24,7420,,,,1
08MF005,1913,06,14,10300,01,13,360,0
08MF005,1914,06,20,8550,01,30,637,1
08MF005,1915,07,14,5800,12,31,399,1
08MF005,1916,06,26,8720,01,08,340,-1
08MF005,1917,06,11,8980,04,04,439,-1
08MF005,1918,06,19,9770,12,26,612,0
08MF005,1919,06,26,8520,03,02,379,1
08MF005,1920,07,16,10800,04,09,566,0
08MF005,1921,06,11,11100,01,13,680,0
08MF005,1922,06,07,9910,03,25,547,0
08MF005,1923,06,13,9260,03,17,566,0
08MF005,1924,05,19,9680,01,06,425,-1
08MF005,1925,05,23,9970,03,01,671,0
08MF005,1926,05,07,6000,12,17,711,1
08MF005,1927,06,14,8670,03,12,552,0
08MF005,1928,05,30,10300,12,07,405,0
08MF005,1929,06,13,8040,02,26,439,0
08MF005,1930,06,14,7840,02,16,453,1
08MF005,1931,06,15,7620,01,10,572,1
08MF005,1932,06,18,8500,02,17,532,0
08MF005,1933,07,06,9290,02,15,620,-1
08MF005,1934,05,01,8500,12,29,784,-1
08MF005,1935,07,06,8040,12,30,790,0
08MF005,1936,06,05,10600,04,07,464,0
08MF005,1937,06,22,7480,01,28,510,0
08MF005,1938,05,29,6820,12,30,487,-1
08MF005,1939,05,21,7820,02,20,479,0
08MF005,1940,05,29,7080,12,19,714,1
08MF005,1941,06,18,5130,02,25,583,1
08MF005,1942,05,31,7220,03,29,527,0
08MF005,1943,06,28,7560,12,22,484,0
08MF005,1944,06,07,6060,03,04,362,0
08MF005,1945,06,04,7820,03,18,600,0
08MF005,1946,05,31,9540,11,26,408,0
08MF005,1947,06,14,8160,02,04,456,0
08MF005,1948,05,31,15200,02,14,530,0
08MF005,1949,05,16,9000,02,22,603,0
08MF005,1950,06,20,12500,03,01,603,-1
08MF005,1951,05,20,8040,03,10,569,0
08MF005,1952,05,24,8330,12,29,513,0
08MF005,1953,06,13,7220,01,10,541,1
08MF005,1954,07,06,9060,04,03,682,-1
08MF005,1955,06,29,11300,03,06,623,-1
08MF005,1956,06,09,9680,02,27,575,-1
08MF005,1957,05,24,10400,01,11,821,1
08MF005,1958,05,28,9770,02,16,915,1
08MF005,1959,06,25,8470,03,15,705,0
08MF005,1960,07,03,9340,03,04,756,0
08MF005,1961,06,07,9510,02,01,765,0
08MF005,1962,07,01,8210,03,11,753,0
08MF005,1963,06,16,7700,12,19,940,1
08MF005,1964,06,21,11600,03,25,816,-1
08MF005,1965,06,06,8580,12,30,643,1
08MF005,1966,06,14,7900,01,03,725,1
08MF005,1967,06,22,10800,03,15,838,0
08MF005,1968,07,01,8830,01,12,917,1
08MF005,1969,06,09,7820,03,10,784,1
08MF005,1970,06,08,8670,12,01,612,-1
08MF005,1971,06,11,8500,01,06,677,-1
08MF005,1972,06,16,12900,12,08,637,1
08MF005,1973,06,28,7960,02,16,739,-1
08MF005,1974,06,21,10800,01,06,626,-1
08MF005,1975,06,18,7650,01,15,527,-1
08MF005,1976,06,23,9400,03,05,784,0
08MF005,1977,06,12,6770,11,24,714,1
08MF005,1978,06,09,6970,02,05,736,-1
08MF005,1979,06,09,8390,12,03,595,0
08MF005,1980,06,22,6070,01,11,538,0
08MF005,1981,05,30,8370,12,31,848,0
08MF005,1982,06,18,9780,01,05,640,1
08MF005,1983,06,03,7280,12,22,640,1
08MF005,1984,07,03,8270,12,31,610,-1
08MF005,1985,05,28,9770,12,01,600,-1
08MF005,1986,06,04,10600,02,20,561,0
08MF005,1987,06,16,7180,12,31,572,1
08MF005,1988,05,17,7650,01,05,520,-1
08MF005,1989,06,18,7110,02,04,579,-1
08MF005,1990,06,16,10100,02,02,663,0
08MF005,1991,07,04,8010,01,09,672,1
08MF005,1992,06,17,6670,12,31,570,1
08MF005,1993,05,19,8500,01,03,540,0
08MF005,1994,05,16,7000,12,08,577,0
08MF005,1995,06,09,6840,01,07,560,0
08MF005,1996,06,09,8100,01,28,675,-1
08MF005,1997,06,05,11300,03,17,788,1
08MF005,1998,06,01,6710,12,25,600,-1
08MF005,1999,06,22,11000,03,23,647,-1
08MF005,2000,07,06,8000,12,17,470,-1
08MF005,2001,07,23,7140,03,06,478,0
08MF005,2002,06,21,10600,03,23,491,1
08MF005,2003,06,13,7300,03,09,472,0
08MF005,2004,06,10,6650,01,05,560,0
08MF005,2005,05,20,7460,01,10,805,0
08MF005,2006,05,27,7190,12,01,510,0
08MF005,2007,06,09,10800,01,15,560,-1
08MF005,2008,05,24,10200,12,20,648,-1
08MF005,2009,06,20,7490,12,16,684,0
08MF005,2010,06,28,5950,02,26,738,-1
08MF005,2011,07,04,9850,03,04,700,-1
08MF005,2012,06,22,11700,01,22,705,0
08MF005,2013,05,17,10100,12,10,696,0
08MF005,2014,05,28,9920,02,09,605,0
08MF005,2015,06,03,7960,12,02,844,1
08MF005,2016,,,,
08MF005,2017,,,,
08MF005,2018,05,20,10900,01,02,582,0

