Station,Date,SnowWaterEqui(mm),Latitude,Longitude,Elevation(m)
1B01P,1993-04-01,494.0,53.7166666666667,-126.416666666667,1489
1B01P,1994-04-01,576.0,53.7166666666667,-126.416666666667,1489
1B01P,1995-04-01,546.0,53.7166666666667,-126.416666666667,1489
1B01P,1996-04-01,661.0,53.7166666666667,-126.416666666667,1489
1B01P,1997-04-01,759.0,53.7166666666667,-126.416666666667,1489
1B01P,1998-04-01,497.0,53.7166666666667,-126.416666666667,1489
1B01P,1999-04-01,573.0,53.7166666666667,-126.416666666667,1489
1B01P,2000-04-01,390.0,53.7166666666667,-126.416666666667,1489
1B01P,2001-04-01,438.0,53.7166666666667,-126.416666666667,1489
1B01P,2002-04-01,716.0,53.7166666666667,-126.416666666667,1489
1B01P,2003-04-01,347.0,53.7166666666667,-126.416666666667,1489
1B01P,2004-04-01,371.0,53.7166666666667,-126.416666666667,1489
1B01P,2005-04-01,652.0,53.7166666666667,-126.416666666667,1489
1B01P,2006-04-01,429.0,53.7166666666667,-126.416666666667,1489
1B01P,2007-04-01,871.0,53.7166666666667,-126.416666666667,1489
1B01P,2008-04-01,524.0,53.7166666666667,-126.416666666667,1489
1B01P,2009-04-01,701.0,53.7166666666667,-126.416666666667,1489
1B01P,2010-04-01,475.0,53.7166666666667,-126.416666666667,1489
1B01P,2011-04-01,543.0,53.7166666666667,-126.416666666667,1489
1B02P,1993-04-01,860.0,53.5833333333333,-127.633333333333,1319
1B02P,1994-04-01,1186.0,53.5833333333333,-127.633333333333,1319
1B02P,1995-04-01,1311.0,53.5833333333333,-127.633333333333,1319
1B02P,1996-04-01,0.0,53.5833333333333,-127.633333333333,1319
1B02P,1997-04-01,1576.0,53.5833333333333,-127.633333333333,1319
1B02P,1998-04-01,1262.0,53.5833333333333,-127.633333333333,1319
1B02P,1999-04-01,1695.0,53.5833333333333,-127.633333333333,1319
1B02P,2000-04-01,1197.0,53.5833333333333,-127.633333333333,1319
1B02P,2001-04-01,1094.0,53.5833333333333,-127.633333333333,1319
1B02P,2002-04-01,1621.0,53.5833333333333,-127.633333333333,1319
1B02P,2003-04-01,960.0,53.5833333333333,-127.633333333333,1319
1B02P,2004-04-01,911.0,53.5833333333333,-127.633333333333,1319
1B02P,2005-04-01,1225.0,53.5833333333333,-127.633333333333,1319
1B02P,2006-04-01,1100.0,53.5833333333333,-127.633333333333,1319
1B02P,2007-04-01,2228.0,53.5833333333333,-127.633333333333,1319
1B02P,2008-04-01,1219.0,53.5833333333333,-127.633333333333,1319
1B02P,2009-04-01,1170.0,53.5833333333333,-127.633333333333,1319
1B02P,2010-04-01,1308.0,53.5833333333333,-127.633333333333,1319
1B02P,2011-04-01,1279.0,53.5833333333333,-127.633333333333,1319
1B08P,1993-04-01,576.0,53.15,-126.866666666667,1413
1B08P,1994-04-01,658.0,53.15,-126.866666666667,1413
1B08P,1995-04-01,1000.0,53.15,-126.866666666667,1413
1B08P,1996-04-01,942.0,53.15,-126.866666666667,1413
1B08P,1997-04-01,1030.0,53.15,-126.866666666667,1413
1B08P,1998-04-01,792.0,53.15,-126.866666666667,1413
1B08P,1999-04-01,1058.0,53.15,-126.866666666667,1413
1B08P,2000-04-01,676.0,53.15,-126.866666666667,1413
1B08P,2001-04-01,685.0,53.15,-126.866666666667,1413
1B08P,2002-04-01,1112.0,53.15,-126.866666666667,1413
1B08P,2003-04-01,566.0,53.15,-126.866666666667,1413
1B08P,2004-04-01,594.0,53.15,-126.866666666667,1413
1B08P,2005-04-01,743.0,53.15,-126.866666666667,1413
1B08P,2006-04-01,762.0,53.15,-126.866666666667,1413
1B08P,2007-04-01,1133.0,53.15,-126.866666666667,1413
1B08P,2008-04-01,676.0,53.15,-126.866666666667,1413
1B08P,2009-04-01,652.0,53.15,-126.866666666667,1413
1B08P,2010-04-01,728.0,53.15,-126.866666666667,1413
1B08P,2011-04-01,748.0,53.15,-126.866666666667,1413
1C12P,1994-04-01,889.0,50.7833333333333,-122.916666666667,1766
1C12P,1995-04-01,1027.0,50.7833333333333,-122.916666666667,1766
1C12P,1996-04-01,966.0,50.7833333333333,-122.916666666667,1766
1C12P,1997-04-01,1021.0,50.7833333333333,-122.916666666667,1766
1C12P,1998-04-01,850.0,50.7833333333333,-122.916666666667,1766
1C12P,1999-04-01,1408.0,50.7833333333333,-122.916666666667,1766
1C12P,2000-04-01,777.0,50.7833333333333,-122.916666666667,1766
1C12P,2001-04-01,618.0,50.7833333333333,-122.916666666667,1766
1C12P,2002-04-01,1057.0,50.7833333333333,-122.916666666667,1766
1C12P,2003-04-01,917.0,50.7833333333333,-122.916666666667,1766
1C12P,2004-04-01,661.0,50.7833333333333,-122.916666666667,1766
1C12P,2005-04-01,637.0,50.7833333333333,-122.916666666667,1766
1C12P,2006-04-01,871.0,50.7833333333333,-122.916666666667,1766
1C12P,2007-04-01,1344.0,50.7833333333333,-122.916666666667,1766
1C12P,2008-04-01,844.0,50.7833333333333,-122.916666666667,1766
1C12P,2009-04-01,469.0,50.7833333333333,-122.916666666667,1766
1C12P,2010-04-01,,50.7833333333333,-122.916666666667,1766
1C12P,2011-04-01,952.0,50.7833333333333,-122.916666666667,1766
1D09P,1992-04-01,634.0,49.2166666666667,-121.566666666667,1408
1D09P,1993-04-01,796.0,49.2166666666667,-121.566666666667,1408
1D09P,1994-04-01,861.0,49.2166666666667,-121.566666666667,1408
1D09P,1995-04-01,843.0,49.2166666666667,-121.566666666667,1408
1D09P,1996-04-01,829.0,49.2166666666667,-121.566666666667,1408
1D09P,1997-04-01,,49.2166666666667,-121.566666666667,1408
1D09P,1998-04-01,1487.0,49.2166666666667,-121.566666666667,1408
1D09P,1999-04-01,,49.2166666666667,-121.566666666667,1408
1D09P,2000-04-01,1328.0,49.2166666666667,-121.566666666667,1408
1D09P,2001-04-01,890.0,49.2166666666667,-121.566666666667,1408
1D09P,2002-04-01,1344.0,49.2166666666667,-121.566666666667,1408
1D09P,2003-04-01,853.0,49.2166666666667,-121.566666666667,1408
1D09P,2004-04-01,1173.0,49.2166666666667,-121.566666666667,1408
1D09P,2005-04-01,652.0,49.2166666666667,-121.566666666667,1408
1D09P,2006-04-01,1185.0,49.2166666666667,-121.566666666667,1408
1D09P,2007-04-01,1347.0,49.2166666666667,-121.566666666667,1408
1D09P,2008-04-01,1292.0,49.2166666666667,-121.566666666667,1408
1D09P,2009-04-01,813.0,49.2166666666667,-121.566666666667,1408
1D09P,2010-04-01,866.0,49.2166666666667,-121.566666666667,1408
1D09P,2011-04-01,991.0,49.2166666666667,-121.566666666667,1408
1D17P,1992-04-01,1135.0,49.0166666666667,-121.7,1621
1D17P,1993-04-01,1040.0,49.0166666666667,-121.7,1621
1D17P,1994-04-01,1320.0,49.0166666666667,-121.7,1621
1D17P,1995-04-01,,49.0166666666667,-121.7,1621
1D17P,1996-04-01,1136.0,49.0166666666667,-121.7,1621
1D17P,1997-04-01,,49.0166666666667,-121.7,1621
1D17P,1998-04-01,1271.0,49.0166666666667,-121.7,1621
1D17P,1999-04-01,,49.0166666666667,-121.7,1621
1D17P,2000-04-01,1616.0,49.0166666666667,-121.7,1621
1D17P,2001-04-01,1080.0,49.0166666666667,-121.7,1621
1D17P,2002-04-01,1894.0,49.0166666666667,-121.7,1621
1D17P,2003-04-01,1260.0,49.0166666666667,-121.7,1621
1D17P,2004-04-01,1530.0,49.0166666666667,-121.7,1621
1D17P,2005-04-01,739.0,49.0166666666667,-121.7,1621
1D17P,2006-04-01,1549.0,49.0166666666667,-121.7,1621
1D17P,2007-04-01,1879.0,49.0166666666667,-121.7,1621
1D17P,2008-04-01,1669.0,49.0166666666667,-121.7,1621
1D17P,2009-04-01,1399.0,49.0166666666667,-121.7,1621
1D17P,2010-04-01,1346.0,49.0166666666667,-121.7,1621
1D17P,2011-04-01,1849.0,49.0166666666667,-121.7,1621
1F03P,1985-04-01,978.0,50.4333333333333,-118.616666666667,1857
1F03P,1986-04-01,764.0,50.4333333333333,-118.616666666667,1857
1F03P,1987-04-01,670.0,50.4333333333333,-118.616666666667,1857
1F03P,1988-04-01,734.0,50.4333333333333,-118.616666666667,1857
1F03P,1989-04-01,801.0,50.4333333333333,-118.616666666667,1857
1F03P,1990-04-01,947.0,50.4333333333333,-118.616666666667,1857
1F03P,1991-04-01,1003.0,50.4333333333333,-118.616666666667,1857
1F03P,1992-04-01,748.0,50.4333333333333,-118.616666666667,1857
1F03P,1993-04-01,714.0,50.4333333333333,-118.616666666667,1857
1F03P,1994-04-01,908.0,50.4333333333333,-118.616666666667,1857
1F03P,1995-04-01,781.0,50.4333333333333,-118.616666666667,1857
1F03P,1996-04-01,1015.0,50.4333333333333,-118.616666666667,1857
1F03P,1997-04-01,1208.0,50.4333333333333,-118.616666666667,1857
1F03P,1998-04-01,750.0,50.4333333333333,-118.616666666667,1857
1F03P,1999-04-01,1128.0,50.4333333333333,-118.616666666667,1857
1F03P,2000-04-01,1047.0,50.4333333333333,-118.616666666667,1857
1F03P,2001-04-01,560.0,50.4333333333333,-118.616666666667,1857
1F03P,2002-04-01,908.0,50.4333333333333,-118.616666666667,1857
1F03P,2003-04-01,770.0,50.4333333333333,-118.616666666667,1857
1F03P,2004-04-01,735.0,50.4333333333333,-118.616666666667,1857
1F03P,2005-04-01,848.0,50.4333333333333,-118.616666666667,1857
1F03P,2006-04-01,818.0,50.4333333333333,-118.616666666667,1857
1F03P,2007-04-01,923.0,50.4333333333333,-118.616666666667,1857
1F03P,2008-04-01,881.0,50.4333333333333,-118.616666666667,1857
1F03P,2009-04-01,821.0,50.4333333333333,-118.616666666667,1857
1F03P,2010-04-01,747.0,50.4333333333333,-118.616666666667,1857
1F03P,2011-04-01,907.0,50.4333333333333,-118.616666666667,1857
2A06P,1993-04-01,709.0,51.0333333333333,-118.133333333333,1770
2A06P,1994-04-01,1222.0,51.0333333333333,-118.133333333333,1770
2A06P,1995-04-01,1086.0,51.0333333333333,-118.133333333333,1770
2A06P,1996-04-01,1395.0,51.0333333333333,-118.133333333333,1770
2A06P,1997-04-01,1326.0,51.0333333333333,-118.133333333333,1770
2A06P,1998-04-01,1664.0,51.0333333333333,-118.133333333333,1770
2A06P,1999-04-01,1692.0,51.0333333333333,-118.133333333333,1770
2A06P,2000-04-01,1414.0,51.0333333333333,-118.133333333333,1770
2A06P,2001-04-01,862.0,51.0333333333333,-118.133333333333,1770
2A06P,2002-04-01,1304.0,51.0333333333333,-118.133333333333,1770
2A06P,2003-04-01,1078.0,51.0333333333333,-118.133333333333,1770
2A06P,2004-04-01,1062.0,51.0333333333333,-118.133333333333,1770
2A06P,2005-04-01,1046.0,51.0333333333333,-118.133333333333,1770
2A06P,2006-04-01,1121.0,51.0333333333333,-118.133333333333,1770
2A06P,2007-04-01,1492.0,51.0333333333333,-118.133333333333,1770
2A06P,2008-04-01,1286.0,51.0333333333333,-118.133333333333,1770
2A06P,2009-04-01,963.0,51.0333333333333,-118.133333333333,1770
2A06P,2010-04-01,960.0,51.0333333333333,-118.133333333333,1770
2A06P,2011-04-01,1263.0,51.0333333333333,-118.133333333333,1770
2B06P,1993-04-01,503.0,50.0666666666667,-118.35,1595
2B06P,1994-04-01,582.0,50.0666666666667,-118.35,1595
2B06P,1995-04-01,464.0,50.0666666666667,-118.35,1595
2B06P,1996-04-01,638.0,50.0666666666667,-118.35,1595
2B06P,1997-04-01,773.0,50.0666666666667,-118.35,1595
2B06P,1998-04-01,439.0,50.0666666666667,-118.35,1595
2B06P,1999-04-01,724.0,50.0666666666667,-118.35,1595
2B06P,2000-04-01,570.0,50.0666666666667,-118.35,1595
2B06P,2001-04-01,326.0,50.0666666666667,-118.35,1595
2B06P,2002-04-01,536.0,50.0666666666667,-118.35,1595
2B06P,2003-04-01,588.0,50.0666666666667,-118.35,1595
2B06P,2004-04-01,480.0,50.0666666666667,-118.35,1595
2B06P,2005-04-01,585.0,50.0666666666667,-118.35,1595
2B06P,2006-04-01,453.0,50.0666666666667,-118.35,1595
2B06P,2007-04-01,532.0,50.0666666666667,-118.35,1595
2B06P,2008-04-01,558.0,50.0666666666667,-118.35,1595
2B06P,2009-04-01,581.0,50.0666666666667,-118.35,1595
2B06P,2010-04-01,401.0,50.0666666666667,-118.35,1595
2B06P,2011-04-01,596.0,50.0666666666667,-118.35,1595
3B17P,1988-04-01,1424.3,49.7,-125.666666666667,1422
3B17P,1989-04-01,1231.0,49.7,-125.666666666667,1422
